section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation detected in reference image,fixation x [px],fixation y [px]
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,193,1636386863875777256,1636386864263759256,387,false,3827,348
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,194,1636386864315843256,1636386864643737256,327,true,2251,526
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,195,1636386864683786256,1636386865087775256,403,true,928,484
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,196,1636386865219794256,1636386865455780256,235,true,978,580
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,197,1636386865499768256,1636386865695750256,195,true,1829,944
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,198,1636386865727808256,1636386866691781256,963,true,1295,1530
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,199,1636386866719802256,1636386866915824256,196,true,1756,1529
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,200,1636386866955854256,1636386867107771256,151,true,2125,805
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,201,1636386867131812256,1636386867487759256,355,true,1815,698
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,202,1636386867479795256,1636386868383793256,903,true,2491,528
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,203,1636386868411765256,1636386869407770256,996,false,3028,990
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,204,1636386869483784256,1636386870395759256,911,true,984,511
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,205,1636386870479782256,1636386870719793256,240,true,1536,2768
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,206,1636386870775743256,1636386871727740256,951,true,2429,2586
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,207,1636386871827825256,1636386871911839256,84,true,1279,884
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,208,1636386871927788256,1636386872527802256,600,true,1041,529
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,209,1636386872587780256,1636386873235803256,648,false,3159,1065
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,210,1636386873283784256,1636386874447795256,1164,false,3237,2241
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,211,1636386874471779256,1636386875915759256,1443,false,3133,1642
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,212,1636386875959759256,1636386876699770256,740,false,3510,1038
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,213,1636386876739763256,1636386877891859256,1152,false,3684,283
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,214,1636386877971799256,1636386878291820256,320,true,1916,1593
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,215,1636386878319807256,1636386879315752256,995,true,1536,1733
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,216,1636386879355785256,1636386880639752256,1283,true,1535,2493
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,217,1636386880659785256,1636386882611756256,1951,true,1057,2807
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,218,1636386882779842256,1636386883639764256,859,true,1561,2528
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,219,1636386883683794256,1636386885023811256,1340,true,2589,2625
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,220,1636386885043823256,1636386885375795256,331,true,2476,2797
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,221,1636386885395762256,1636386885603785256,208,true,2478,2579
93f3ae11-30aa-45a9-b5bd-57b0ed6bad95,c9431eee-9299-4234-81b7-1df1e3e6e97c,222,1636386885643766256,1636386886079835256,436,false,3302,2311
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,309,1636634036374870351,1636634036446822351,71,true,1943,1698
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,310,1636634036914821351,1636634037034855351,120,true,2115,1477
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,311,1636634037070881351,1636634037150832351,79,true,1556,1522
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,312,1636634037382812351,1636634038318922351,936,true,1874,777
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,313,1636634038426829351,1636634038490832351,64,true,1855,733
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,314,1636634038538850351,1636634038962904351,424,true,2435,471
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,315,1636634038966857351,1636634039134816351,167,true,2586,509
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,316,1636634039186829351,1636634039498911351,312,true,1013,326
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,317,1636634039622836351,1636634039718897351,96,true,1072,385
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,318,1636634039762852351,1636634040426815351,663,true,1927,1023
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,319,1636634040478860351,1636634040554844351,75,true,2265,680
