section id,recording id,timestamp [ns],gaze detected in reference image,gaze position in reference image x [px],gaze position in reference image y [px],fixation id
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039654839351,true,1102.712301620023,403.2726306998353,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039658881351,true,1097.289675496213,393.8788432123065,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039662963351,true,1082.0439976652715,386.8428794059866,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039670818351,true,1065.615506911186,375.38292645318194,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039674861351,true,1061.6302674843832,369.467740166604,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039678855351,true,1054.53890307303,364.32460005629486,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039682852351,true,1035.3937148541736,359.24287993028224,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039690855351,true,1025.0237131944732,350.3172947567921,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039694898351,true,1025.1421095280866,346.6903875619929,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039698890351,true,1025.1272020821932,344.05735560363195,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039702855351,true,1027.1219855327704,341.8672500149661,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039710897351,true,1026.7421958397167,337.38765643115244,317
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039714884351,true,1030.0086396357146,335.8737206343011,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039718897351,true,1033.2499285308495,334.81489092704186,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039722908351,true,1048.010828272343,350.94746006228917,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039730854351,true,1187.7209197811735,470.14762543625153,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039734848351,true,1299.6382959643734,518.0617747296093,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039738817351,true,1406.9442268942782,620.7834762572428,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039742853351,true,1532.3901254541179,713.5769832137138,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039750831351,true,1712.9242848799079,821.8586388176496,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039754833351,true,1766.56875193383,861.2987803125546,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039758837351,true,1773.9700589095855,911.0067721997872,
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039762852351,true,1805.5424234244533,925.689699737092,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039770971351,true,1816.9251078710279,916.193375208052,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039774830351,true,1811.022980658647,909.9385781958742,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039778824351,true,1812.6274941294455,901.8744466089088,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039782835351,true,1797.3327849161003,894.3673332529644,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039790824351,true,1807.29034095819,908.0110122198819,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039794841351,true,1818.6921938098615,922.2303367384307,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039799034351,true,1813.4983991592162,922.1630879886835,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039802848351,true,1821.676314132215,930.6004574571183,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039810964351,true,1813.0993422892461,919.15320819413,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039814858351,true,1835.6088711956493,909.131459509493,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039818855351,true,1829.8065756083386,911.0593532541874,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039822827351,true,1828.1919610080065,910.0216346718204,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039830829351,true,1832.2450293795252,918.4814584535505,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039834846351,true,1825.3612228212555,938.0730839290512,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039838822351,true,1840.0223445582992,962.5151061849049,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039842843351,true,1844.7405708224278,977.8019507069396,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039850834351,true,1840.0817936283145,972.7380833133296,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039854863351,true,1840.0310554887267,977.6494909836988,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039858837351,true,1838.605578664428,962.7778504317537,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039862835351,true,1835.3510791684153,954.9710101749636,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039870826351,true,1844.6985360186625,958.8570804999064,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039874830351,true,1845.55695216013,960.5413732053958,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039878839351,true,1838.8740500431818,959.0844984026032,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039882840351,true,1843.4129526389004,958.9491361253329,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039890834351,true,1852.770658800557,958.9268977411493,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039894925351,true,1855.022252413044,951.8721868698474,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039898854351,true,1851.0429742933509,949.2427565333719,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039902831351,true,1841.1849240866604,943.7628617402385,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039910920351,true,1841.0372575128802,923.5922657828868,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039914836351,true,1843.086026139109,913.3471568046881,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039919029351,true,1851.521916859244,909.7520882699371,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039922847351,true,1852.449662221422,908.5385297432179,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039930927351,true,1845.3179463481601,905.2830587859966,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039934849351,true,1839.3221323665719,907.1691176861688,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039938845351,true,1837.1708155663332,904.8537348865286,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039942896351,true,1837.7437030397516,901.9210888899576,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039950841351,true,1832.4432081203306,905.4212557197892,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039954853351,true,1840.599463670602,923.3089817044944,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039958894351,true,1849.9041680235625,925.2095371319535,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039962843351,true,1853.5040098633049,925.527887347374,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039970842351,true,1850.1524257336935,935.0759174865575,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039974827351,true,1846.5267954950575,928.4573814343497,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039978833351,true,1843.593049870405,930.3904948927508,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039982827351,true,1844.313975268981,931.1390709444385,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039990827351,true,1843.6153600638092,922.7186761501354,318
5ee66696-5b84-4814-bb13-b96dee92dfba,737e9eee-89e5-4d1b-9b06-57d84e51eaca,1636634039994862351,true,1843.004303279426,917.9156359788445,318
